1127,"34c9","00b3",13513,231,"10 03 19 00 0d 88 80 cb cc cd 00 00 00 aa b5 50 00 09 36 bc 60 08 37 9a 0c 07 3e 79 b8 84 be 79 b8 84 03 09 3d f0 9d 99 bc be d1 2e be bb 75 5d 3f 6c 3e 27 3a 33 c4 6a b9 36 43 41 3a 2a 90 d7 ba 36 60 06 b9 97 0c 56 ba 45 64 fa 3a 33 c0 cc b9 36 50 5a 3a 2a 95 75 b9 27 14 78 3a 11 ab ec 3a 3a 9d f0 b8 9d 50 b8 37 b7 0f 10 35 38 90 00 3d f0 b0 5e bc be dd 57 be bb 7d 25 3f 6c 3c 41 01 42 3e b9 08 42 82 96 e6 c2 bd e4 fa c2 90 1b 68 3a 4b 86 60 bb 15 c7 8c 3a 03 6a cd bc 0a 26 d3 bb ea 23 0f 3c 08 7e 9e 3c 13 29 46 3c 08 3d 4f 3c 02 ae 8c bb e1 ad c3 bc 1f 07 e0 be 1e cb 40 be 01 50 40 3c ff ab a0 3f 4e a2 23 3e 37 e1 a0 00 00 18 02 ff ff e7 fe bd 2a c0 76 3c 84 54 24 3a c3 5f 15 d6 1c "
11164,"34ca","00b3",13514,283,"10 03 19 00 0d 88 80 ce b3 33 00 00 00 ab 02 00 01 3f 07 ce 6a bf 44 45 aa be b9 25 cb 3f 64 f3 29 be cb 46 e7 be 53 2f d4 fc f3 f8 2c fd 84 00 3d ee a0 46 bc bf 2e c9 be bb 07 02 3f 6c 5c 02 01 bf 35 6f e5 3f 2e 9b 4b 3e 38 91 d4 3a 20 2c ff b9 20 c8 59 3a 2a aa b7 bf 78 4d cd 3e 79 31 6b b3 80 00 00 01 0d 8c 1e 00 f0 be 0d 88 82 28 19 55 0d 8c 1e 00 f0 be 0d 88 97 ae 68 83 01 41 65 75 ac cf 3f 3b ca 40 b6 a6 4c cc cc dc 1a 01 b3 67 79 c2 b3 50 89 e5 33 93 ac 76 b7 99 52 00 b5 54 03 19 37 24 81 0e be 80 3b 08 be c6 88 26 bd b9 67 50 03 03 03 03 b8 11 8f f9 3a 7b ed 46 3a bd 2a 87 b9 fd 70 26 00 35 6d 70 80 b7 2e ff b0 37 1b 27 60 3b 72 7e 18 00 00 00 06 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 06 00 00 00 06 3e 20 36 00 bd 58 78 00 be 2e ae 00 3d be 60 00 40 97 81 35 0f 91 98 66 23 8a "
11453,"3c5e","00f3",15454,971,"10 03 19 00 0d 88 80 ce cc cd 00 00 00 87 01 19 01 01 01 01 01 01 01 01 01 00 01 01 01 01 01 01 01 01 01 00 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 00 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 00 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 00 01 01 01 01 01 01 01 01 01 01 46 e1 50 33 47 01 2a ab 46 f2 51 6c 46 7a c4 60 46 cd b8 88 46 83 0c b0 46 c6 e4 d0 46 85 fa a9 46 8c 3f e6 46 79 07 cd 46 8d 5a 2a 46 8f 27 22 46 84 98 8b 46 8f 27 22 46 e1 50 33 46 8c e8 ba 46 90 12 0d 47 17 db ad 47 31 ab 01 4b 2f 96 00 46 8d 21 5b 46 8b d0 39 46 c1 55 55 46 85 fa a9 46 89 ac 1b 46 8c e8 ba 46 86 2d da 46 c1 c0 00 46 8a 85 53 46 86 61 32 46 8c 3f e6 46 af 96 00 46 b8 99 7f 46 8b d0 39 46 8f 9c 38 46 8c 78 00 46 89 e2 29 46 87 cc f4 47 de 86 56 46 85 94 bb 47 25 dd fe 46 b8 38 a8 46 87 98 85 46 8a 18 62 46 88 6b 38 46 ba 20 dc 46 a8 aa fd 46 a6 7b 42 46 87 cc f4 46 88 6b 38 46 8f 9c 38 44 7c cd ef 46 86 fc 28 46 86 fc 28 46 89 40 7d 46 88 a0 4b 44 7c a7 ff 46 84 ca af 46 87 cc f4 46 86 c8 59 46 8c 07 fa 46 48 72 29 46 8f 9c 38 46 86 94 b2 4b 2f 96 00 46 10 6a ec 46 01 b9 d0 46 89 76 37 46 86 c8 59 46 83 0c b0 46 08 f0 35 46 8f 61 95 46 88 6b 38 47 29 9f 65 46 87 30 1f 46 c6 74 6a 46 13 7f 7a 47 08 a0 4b 46 09 91 23 46 8b 61 3e 46 8e b2 cb 46 0d 5a 2a 47 24 a6 ea 46 d8 a0 63 46 83 a0 0c 46 0b 7c ec 46 92 a7 e2 46 d8 a0 63 47 3a 83 b8 46 a4 0d 15 47 21 b0 ce 47 03 6e c9 46 98 1d 75 46 cf 24 92 46 9e d5 7c 47 31 ab 01 47 32 5f 7e 47 28 5a 21 46 bc dd 94 46 b8 38 a8 46 b5 9d bd 41 11 d7 80 40 c1 ef 00 40 ef 6e 00 41 b7 7e 40 41 32 e8 00 41 ae cf 60 41 3f 49 80 41 aa 7d 40 41 a1 98 40 41 b8 dd 00 41 a0 13 e0 41 9d a1 40 41 ac 84 20 41 9d a1 40 41 11 d7 80 41 a0 af 80 41 9c 65 60 40 21 88 00 bf 53 c8 00 c2 b3 a1 b0 41 a0 61 e0 41 a2 32 c0 41 49 bc c0 41 aa 7d 40 41 a5 31 80 41 a0 af 80 41 aa 32 c0 41 48 f1 00 41 a4 00 00 41 a9 e8 20 41 a1 98 40 41 6d 8e 00 41 5a de 40 41 a2 32 c0 41 9d 03 80 41 a1 4a c0 41 a4 e5 60 41 a7 db 60 c1 98 1a a0 41 ab 12 00 3f 21 70 00 41 5b a1 80 41 a8 26 80 41 a4 99 20 41 a6 f9 00 41 57 ce 00 41 7c a9 c0 41 80 cb 00 41 a7 db 60 41 a6 f9 00 41 9d 03 80 40 47 d9 00 41 a9 07 c0 41 a9 07 c0 41 a5 c9 c0 41 a6 ad 60 40 3e 43 40 41 ac 3a 40 41 a7 db 60 41 a9 52 a0 41 a1 e5 80 41 e4 66 80 41 9d 03 80 41 a9 9d 80 c2 b3 a1 b0 42 14 7a 90 42 20 13 30 41 a5 7d c0 41 a9 52 a0 41 ae cf 60 42 1a 33 f8 41 9d 52 80 41 a6 f9 00 3e 1d d0 00 41 a8 bc e0 41 40 19 80 42 12 38 48 40 9a 5e 00 42 19 b5 50 41 a2 cd 00 41 9e 3e 80 42 16 c8 50 3f 49 98 00 41 20 13 c0 41 ad f4 00 42 18 36 40 41 98 f7 c0 41 20 13 c0 bf ec ba 00 41 83 92 c0 3f 96 6e 00 40 b5 a4 80 41 91 f3 c0 41 30 63 00 41 89 b4 80 bf 53 c8 00 bf 69 30 00 3e a0 c0 00 41 52 63 00 41 5b a1 80 41 60 ef c0 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 dc 19 "
14507,"34ca","00b3",13514,231,"10 03 19 00 0d 88 80 cf cc cd 00 00 00 aa b4 9f ff f9 36 84 ff fa 37 34 47 f8 3e 7c 74 24 be 7c 74 24 03 09 3d ed e9 1c bc bf 43 66 be ba de 8d 3f 6c 66 e0 3a 19 f4 ea b9 32 f8 32 3a 2f c8 a7 ba 80 f3 18 39 d5 b3 b6 ba 45 64 fa 3a 19 f1 4c b9 33 05 2f 3a 2f cd 44 b9 25 90 73 3a 13 67 36 3a 3f 06 0e 37 c7 de 80 37 8d 60 88 b7 a4 ad 80 3d ee 06 51 bc bf 2f a7 be ba e3 2f 3f 6c 65 78 01 42 3e c6 7e 42 82 86 b6 c2 bd f8 2c c2 90 22 be 3a 3a a8 7b bb 24 04 fe 39 9c f6 f6 bc 0d a6 02 bb e4 58 df 3c 07 cf 9b 3c 10 ec d1 3c 08 28 b5 3c 02 aa 0c bb e3 28 b6 bc 1c 9e 07 be 1e cb 40 be 01 50 40 3c ff ab a0 3f 4d d2 cb 3e 36 b4 08 00 00 18 46 ff ff e7 ba 3c 55 37 9d 3c 4e 4f 90 bb cf ab a7 2e 62 "
14744,"304b","0053",12363,112,"10 03 19 00 0d 88 80 cf e6 66 00 00 00 2a 10 07 00 00 00 3a 00 e7 0a 0b 93 26 32 00 02 18 00 00 00 00 00 00 00 00 00 43 54 4f 46 bf af 37 46 c1 c0 00 01 bd f6 50 10 07 00 50 00 7a 40 e7 0a 0b f4 02 2c 00 02 0d 00 00 00 00 00 00 00 00 38 6c 58 5e 46 a2 dc c1 46 9a 77 a5 01 a8 06 4f f6 50 46 cf 24 92 f6 50 ff 16 46 9c e4 bf f9 5b b6 e0 "
21191,"34f0","0018",13552,133,"10 03 1a 00 0d 88 80 d1 e6 66 00 00 00 81 12 11 00 11 03 4d d3 74 00 da 30 74 00 ed 00 cb 00 f5 00 03 00 00 12 0c 00 ff 00 ed 00 fc 00 9a 00 f9 00 08 00 59 00 e7 00 7f 00 fd 00 01 01 10 00 00 24 c0 00 00 00 00 00 00 a5 a5 a5 a5 a5 a5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 11 06 09 85 eb 90 00 00 00 00 00 00 00 00 00 01 03 4d d3 74 6c 1d "
24538,"34ca","00b3",13514,656,"10 03 19 00 0d 88 80 d2 b3 33 00 00 00 b2 32 2e 02 05 00 43 00 6b 14 9a fd 35 0f ce 00 05 00 05 56 88 ff 2e 00 07 00 69 06 97 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 06 ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00 32 2e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 32 2e 00 04 58 15 36 bc 00 bd 32 2e 21 80 5a 44 71 58 cd 58 0a fe 45 be ba cf fd 35 84 f0 32 2e c4 7e a2 ff 3b 9e 28 04 24 3a 25 9c 24 88 fc da fc 20 01 bd 47 8c 3c 3e 48 72 03 35 00 55 fe 52 16 38 15 54 16 2a 00 28 76 58 00 00 0f 0f 00 00 00 00 ff fa c7 aa 00 0d 40 8e 00 00 ef 11 ff fa 9b 47 ff ff fb 95 ff ff ff 93 ff ff fb 68 00 49 eb b9 01 00 7c d2 00 0a 00 0a 00 4f 00 00 00 00 00 00 00 dc 00 00 00 00 00 00 02 21 00 a0 00 50 00 05 03 31 b3 75 40 00 40 c8 08 40 ff ce 00 dc 88 df 0d 25 02 21 00 4a 18 51 00 00 00 64 00 52 00 05 02 62 00 b0 00 51 00 06 00 02 00 00 ff fb 00 00 00 00 00 00 00 00 02 80 19 86 00 dc 00 b0 02 2f 14 8d ff fc 0d 4d 00 05 00 05 3f 21 00 a6 02 b0 01 61 07 c4 00 00 00 00 00 00 00 00 ff ff ff fa 00 00 00 03 00 00 00 04 00 00 00 00 00 00 00 00 00 00 00 00 19 86 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 19 86 00 04 09 81 80 52 00 1c 19 87 21 80 b6 8f 7f 20 af d3 8c c6 51 f7 0e 59 ff fc 97 8a 19 86 c4 54 a2 97 3b d2 28 08 24 11 23 9c 25 13 00 e3 07 24 ff d8 44 76 3c 9d 41 51 0d 17 0c e0 05 06 14 e7 14 d7 15 ec 00 2e 7a 23 00 00 0f 0f 00 00 00 00 ff f1 2b c1 ff fd e8 a7 ff fe d9 17 ff fd 4f bb ff ff ff 34 00 00 03 2d 00 00 00 fc 00 00 38 76 00 00 77 88 00 10 00 10 00 84 00 00 00 00 00 00 00 dc 00 00 00 00 00 00 02 10 00 40 00 20 00 00 00 f4 c7 b8 40 00 40 c8 08 40 ff d0 00 d5 84 17 0d 13 01 f3 00 02 72 a4 00 00 00 64 00 8a 00 05 01 9e 00 4e 00 89 00 07 00 00 00 00 ff fb 00 00 00 00 00 00 00 00 02 80 23 c9 "
26775,"34ca","00b3",13514,231,"10 03 19 00 0d 88 80 d3 cc cd 00 00 00 aa 35 a7 ff f8 36 33 7f f8 37 1e 4f f9 3e 7f 0d 65 be 7f 0d 65 03 09 3d eb 57 55 bc bf a5 f0 be ba 4e fc 3f 6c 8d 67 3a 27 18 73 b9 28 f2 31 3a 25 4f 2e 3b 00 f3 18 ba 55 b3 b6 00 00 00 00 3a 27 14 d5 b9 28 ff 23 3a 25 53 cb b9 24 0d 6b 3a 14 92 6f 3a 42 4c 6a b7 d9 81 20 36 ba 44 c0 37 a7 2a 40 3d eb 64 60 bc bf b6 b0 be ba 57 5e 3f 6c 8b 8a 01 42 3e d7 b8 42 82 6d 36 c2 be 13 5a c2 8f fe 91 3a 1c 9b eb bb 21 fb 97 39 12 05 b8 bc 10 35 59 bb e5 6a cd 3c 04 f3 15 3c 14 5b 28 3c 08 38 af 3c 03 8c 77 bb e2 4c 03 bc 1e f0 02 be 1e cb 40 be 01 50 40 3c ff ab a0 3f 4d 10 04 3e 35 6d 4f 00 00 18 86 ff ff e7 7a bc 6c e2 c8 3b 96 60 50 3c 0b 1d fe 1f 4b "
27892,"3c26","0000",15398,8,"00 2e 0d 88 80 d3 fb 0f "
31226,"3297","0163",12951,224,"10 03 19 00 0d 88 80 d4 cc cd 00 00 00 75 80 16 01 48 00 0d 88 80 d4 19 99 00 59 91 00 00 c9 94 00 00 00 00 00 00 00 7f 01 13 01 2a 01 47 01 19 01 00 01 69 01 be 00 00 00 00 00 00 00 00 00 00 00 00 00 0f 00 00 00 00 00 00 00 00 00 00 24 d6 01 fe 00 80 e2 4a 00 05 72 2d 0d 88 80 d3 00 08 04 08 0e cd 9c 20 00 9d 20 01 9d a0 01 9e e0 01 9f 40 01 99 40 01 00 00 00 00 0a 40 04 01 72 a4 06 c1 00 80 00 00 00 00 00 00 00 00 00 00 00 2f 0d 88 80 d4 19 99 00 00 00 00 05 00 0e 84 0f ff 0d 55 07 0a 60 62 00 00 00 00 00 00 00 00 00 70 01 00 8e 01 01 06 01 01 24 01 01 42 01 01 da 01 02 b2 01 03 ed 01 05 74 01 06 e7 01 00 68 44 6e 94 20 44 7c f3 de 44 82 7a 31 44 84 7a 52 e8 2e "
