"block","count","offsets"
"40 00 40","2","[1488, 5941]"
"80 00 02","2","[2032, 5037]"
"10 00 40","2","[4527, 5570]"
"80 00 08","3","[4557, 4739, 5633]"
"0c 0c 10","2","[4961, 4993]"
"01 00 01","2","[5005, 5537]"
"60 00 40","2","[5282, 5327]"
